@id,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,branch,name,opening_hours,operator,shop,website,wheelchair,lon,lat,brand,name:de,phone,level,email,internet_access,internet_access:fee,outdoor_seating,payment:cash,payment:contactless,payment:credit_cards,takeaway,diet:vegetarian,toilets:wheelchair,cuisine,opening_hours:signed,alt_name,name:zh,check_date:opening_hours,indoor_seating,addr:country,name:en,name:fr
node/260019055,Luzern,17a,6002,Pilatusstrasse,cafe,Luzern Pilatushof,La vie en rose,"Mo-We 07:00-18:00; Th-Sa 07:00-19:00; PH,Su 09:00-18:00",Confiseur Bachmann,bakery,https://www.confiserie.ch/bachmann/standorte/la-vie-en-rose-r/,yes,8.3065515,47.048849,,,,,,,,,,,,,,,,,,,,,,,
node/442702219,,,,,,,Bucher,,,bakery,,,8.2844579,47.0718996,,,,,,,,,,,,,,,,,,,,,,,
node/506878646,Luzern,20,6002,Werkhofstrasse,cafe,Luzern Tribschenstadt,Bachmann,Mo-Fr 06:15-19:00; Sa 07:00-17:00,Confiseur Bachmann,bakery,https://www.confiserie.ch/de/tribschenstadt,,8.3142966,47.0443024,Bachmann,,,,,,,,,,,,,,,,,,,,,,
node/620429421,,,,,,,,,,bakery,,,8.3767748,47.0475626,,,,,,,,,,,,,,,,,,,,,,,
node/620429428,,,,,,,Ehliger,,,bakery,,,8.3737493,47.0464587,,,,,,,,,,,,,,,,,,,,,,,
node/771439086,,,,,,,Kammermann,Mo-Fr 06:00-18:30; Sa 07:00-14:00; Su 07:00-16:00,,bakery,,yes,8.2977461,47.052118,,Hänggi,,,,,,,,,,,,,,,,,,,,,
node/771441070,,,,,,,Suter's Meile,"Mo-Fr 05:00-19:00; Sa 05:00-17:00; Su,PH 00:00-17:00",,bakery,,limited,8.302022,47.048797,,,,,,,,,,,,,,,,,,,,,,,
node/984402884,,10,,Fanghöfli,cafe,,Wey Beck,,,bakery,,,8.2604943,47.0496865,,,,,,,,,,,,,,,,,,,,,,,
node/1095049104,,,,,,,Sutter,,,bakery,,,8.3093707,47.0224248,,,,,,,,,,,,,,,,,,,,,,,
node/1095049117,Horw,60,6048,Kantonsstrasse,,,Moos,,,bakery,,,8.3101968,47.0215251,,,+41 41 342 20 50,,,,,,,,,,,,,,,,,,,,
node/1128614190,,,,,,,Emma's,,,bakery,,,8.2753122,47.0771397,,,,,,,,,,,,,,,,,,,,,,,
node/1145599854,Emmenbrücke,1,6020,Stauffacherstrasse,cafe,Emmen Center,Bachmann,,Confiseur Bachmann,bakery,https://www.confiserie.ch/de/emmen-center,yes,8.2874151,47.07472,Bachmann,,,0,,,,,,,,,,,,,,,,,,,
node/1216666213,,,,,,,,,,bakery,,,8.2589769,47.0515299,,,,,,,,,,,,,,,,,,,,,,,
node/1223457041,Emmen,93,6032,Seetalstrasse,cafe,,Bäckerei-Konditorei Café Vogel,,,bakery,http://www.vogel-baeckerei.ch,yes,8.2996834,47.0768784,,,+41 412601572,,vogel@tic.ch,wlan,no,yes,yes,yes,yes,yes,,,,,,,,,,,
node/1228940798,,,,,,,Koch,,,bakery,,,8.2878802,47.0713022,,,,,,,,,,,,,,,,,,,,,,,
node/1292171224,,35,6003,Hirschengraben,,,Brunner,,,bakery,,,8.3015672,47.0499496,,,,,,,,,,,,,,,,,,,,,,,
node/1485039377,,,,,cafe,,Heini,Mo-Fr 07:00-18:30; Sa 07:00-18:00; Su 09:00-17:00,,bakery,,yes,8.3065957,47.0536123,,,,,,,,,,,,,yes,yes,,,,,,,,,
node/1485039383,,,,,cafe,,Heini,"Mo-Fr 06:00-18:30, Sa 07:00-17:00, Su 09:00-17:00",,bakery,https://www.heini.ch/,limited,8.310524,47.0571016,,,,,,,,,,,,,,,coffee_shop,,,,,,,,
node/1553431794,Luzern,9,6002,Alpenstrasse,,Luzern Alpenstrasse,Bachmann,"Mo-Fr 07:00-18:30, Sa 07:00-17:00",Confiseur Bachmann,bakery,https://www.confiserie.ch/de/alpenstrasse,yes,8.310506,47.0556543,Bachmann,,,,,,,,,,,,,,,,,,,,,,
node/1553431810,,,,,,,Heini,Mo-Fr 07:00-18:30; Sa 07:00-17:00; Su off,,bakery,,yes,8.3095872,47.0550016,,,,,,,,,,,,,,,,,,,,,,,
node/1820562268,,,,,,,Macchi,Mo-Fr 06:45-18:30; Sa 06:45-14:00; Su off; PH off,,bakery,,yes,8.3074588,47.0470505,,,,,,,,,,,,,,,,,,,,,,,
node/1821541392,,,,,,,Macchi,Mo-Fr 07:45-18:30; Th 07:45-21:00; Sa 07:45-16:00; Su off,,bakery,,yes,8.3097376,47.0550946,,,,,,,,,,,,,,,,,,,,,,,
node/1939780099,,,,,,,Macchi,Mo-Fr 06:45-18:30; Sa 06:45-16:00; PH off,,bakery,,yes,8.3081647,47.0495641,,,,,,,,,,,,,,,,no,,,,,,,
node/2681665330,,,,,,,Odermatt,Mo-Fr 06:30-19:00; Sa 06:30-17:00; Su 08:00-12:00,,bakery,,,8.3069165,47.0452007,,,,,,,,,,,,,,,,,,,,,,,
node/2775426727,Horw,16,6048,Kirchweg,,Horw,Bäckerei Hug,,Hug Retail,bakery,https://www.baeckerei-hug.ch/filialen/standorte/horw/,,8.311146,47.020934,Hug,,+41 41 340 45 82,,,,,,,,,,,,,,Hug Horw,,,,,,
node/2925903218,,,,,,,Habermacher,,,bakery,,,8.2662183,47.0500835,,,,,,,,,,,,,,,,,,,,,,,
node/3497527550,Luzern,7,6002,Schwanenplatz,cafe,Luzern Schwanenplatz,Bachmann,Mo-We 07:00-19:00; Th 07:00-21:00; Fr 07:00-19:00; Sa 07:00-17:30; Su 09:30-18:00,Confiseur Bachmann,bakery,https://www.confiserie.ch/de/schwanenplatz,,8.3086255,47.0537647,Bachmann,,,,,,,,,,,,,,,,,巧克力,,,,,
