@id,name,branch,alt_name,addr:city,brand,brand:wikidata,opening_hours,operator,wheelchair,@user,internet_access,organic,level,phone,contact:phone,website,addr:street,addr:housenumber,addr:postcode,lon,lat,brand:wikipedia,building,cash_withdrawal,cash_withdrawal:fee,cash_withdrawal:purchase_required,cash_withdrawal:type,shop,source,@timestamp,@version,@changeset,@uid,@geometry,indoor,check_date:opening_hours,diet:halal,diet:kosher,internet_access:fee,name:de,name:fr
way/87220776,Migros,Luzern Schweizerhof,Migros Schweizerhof (MM),Luzern,Migros,Q680727,Mo-Fr 08:00-19:00; Th 08:00-21:00; Sa 08:00-17:00; PH off,Genossenschaft Migros Luzern,yes,sovereign_ch,,,,,,https://filialen.migros.ch/de/migros-supermarkt-luzern-schweizerhof,Hertensteinstrasse,9,6004,8.3097142,47.0546778,,,,,,,,,,,,,,,,,,,,
way/90520644,Denner,Luzern Sälistrasse,,Luzern,Denner,Q379911,,,,sovereign_ch,,,,,,,Sälistrasse,21,6005,8.3008023,47.0456514,,,,,,,,,,,,,,,,,,,,
way/93459850,Coop,Luzern Kasernenplatz,Coop Kasernenplatz,Luzern,Coop,Q432564,"Mo-We 07:00-18:30, Th,Fr 07:00-20:00, Sa 07:00-16:00",Coop Genossenschaft,,sovereign_ch,,,,,,,Bruchstrasse,9,6003,8.2999089,47.0511471,,,,,,,,,,,,,,,,,,,,
way/379342427,Migros,Luzern Bahnhof,Migros Luzern Bahnhof,Luzern,Migros,Q680727,"Mo-Sa 06:00-22:00, Su 07:00-22:00",Genossenschaft Migros Luzern,,sovereign_ch,,,-1,,,https://filialen.migros.ch/de/migros-supermarkt-luzern-bahnhof,,,6003,8.3092909,47.0507647,,,,,,,,,,,,,,,,,,,,
way/379354224,Coop,Luzern Bahnhof,Coop Luzern Bahnhof,Luzern,Coop,Q432564,Mo-Sa 06:00-22:00; Su 07:00-22:00,Coop Genossenschaft,yes,sovereign_ch,,,-1,,+41 41 226 10 30,,,,6003,8.311262,47.0503038,,,,,,,,,,,,,,,,,,,,
node/506648228,Denner,Luzern Kellerstrasse,,Luzern,Denner,Q379911,Mo-We 08:00-18:30; Th-Fr 08:00-20:00; Sa 08:00-16:00,,yes,sovereign_ch,,,,,,,Brünigstrasse,16-18,6005,8.3115279,47.0431572,,,,,,,,,,,,,,,,,,,,
node/506648661,Migros,Luzern Tribschenstrasse,Migros Tribschenstrasse,Luzern,Migros,Q680727,"Mo-Fr 07:00-19:00, Sa 07:00-17:00; PH off",Genossenschaft Migros Luzern,,sovereign_ch,,,,,,https://filialen.migros.ch/de/migros-supermarkt-luzern-tribschenstrasse,Tribschenstrasse,66,6005,8.3179016,47.0420802,,,,,,,,,,,,,,,,,,,,
node/668943412,Coop,Luzern Schlossberg,Coop Schlossberg,Luzern,Coop,Q432564,Mo-Fr 07:30-18:30; Sa 07:30-16:00,Coop Genossenschaft,,sovereign_ch,wlan,,,41413670970,,https://coop.ch/,Maihofstrasse,1,6006,8.3083616,47.0614224,,,,,,,,,,,,,,,,,,,,
node/1069059529,Migros,Luzern Waldstätter,Migros Waldstätter,Luzern,Migros,Q680727,Mo-Fr 08:00-19:00; Fr 08:00-20:00; Sa 08:00-17:00; PH off,Genossenschaft Migros Luzern,yes,sovereign_ch,wlan,,,,,https://filialen.migros.ch/de/migros-supermarkt-luzern-waldstaetter,Winkelriedstrasse,58,6003,8.3072505,47.0461309,,,,,,,,,,,,,,,,,,,,
node/1069059588,Coop,Luzern Winkelried,Coop Winkelried,Luzern,Coop,Q432564,,Coop Genossenschaft,yes,sovereign_ch,wlan,,,,,,Winkelriedstrasse,56,6000,8.3068307,47.0465392,,,,,,,,,,,,,,,,,,,,
